Address,Minute,Blue kills,Blue deaths,Kill freq,Blue kill freq,Blue death freq,Red structures taken,Blue structures lost,Structure freq,Blue structure freq,Red structure freq,Blue gold,Gold diff,Delta gold diff,Blue win
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,20,3,3,0.4,0.2,0.2,1,2,0.4,0.2,0.2,27771.0,-705.0,-508.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,21,3,3,0.4,0.2,0.2,1,2,0.4,0.2,0.2,29050.0,-771.0,-531.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,22,3,3,0.2,0.0,0.2,1,2,0.4,0.2,0.2,30461.0,-546.0,141.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,23,3,3,0.0,0.0,0.0,1,2,0.0,0.0,0.0,31632.0,-1355.0,-650.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,24,6,5,1.0,0.6,0.4,1,2,0.0,0.0,0.0,32432.0,-1457.0,-686.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,25,6,5,1.0,0.6,0.4,2,2,0.2,0.2,0.0,34952.0,-733.0,-187.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,26,9,5,1.6,1.2,0.4,3,2,0.4,0.4,0.0,36665.0,-73.0,1282.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,27,11,5,2.0,1.6,0.4,3,3,0.6,0.4,0.2,40322.0,2345.0,3802.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,28,11,5,2.0,1.6,0.4,3,3,0.6,0.4,0.2,42453.0,2512.0,3245.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,29,12,5,1.2,1.2,0.0,3,3,0.6,0.4,0.2,44248.0,2839.0,2912.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,30,12,5,1.2,1.2,0.0,3,3,0.4,0.2,0.2,45655.0,3178.0,833.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,31,12,5,0.6,0.6,0.0,4,3,0.4,0.2,0.2,48690.0,4674.0,2162.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,32,12,5,0.2,0.2,0.0,4,5,0.6,0.2,0.4,50767.0,5232.0,2393.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,33,12,5,0.2,0.2,0.0,4,5,0.6,0.2,0.4,51805.0,3221.0,43.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,34,12,5,0.0,0.0,0.0,5,5,0.8,0.4,0.4,53453.0,3758.0,-916.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,35,13,5,0.2,0.2,0.0,7,5,1.2,0.8,0.4,55397.0,4681.0,-551.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,36,13,5,0.2,0.2,0.0,7,5,1.0,0.6,0.4,57369.0,5548.0,2327.0,True
